TaxID	CLARK	Kaiju	Kraken
971	547	NA	NA	NA
972	1097	NA	NA	NA
973	1057	NA	NA	NA
974	2074	NA	NA	NA
975	1442	NA	NA	NA
976	2220	NA	NA	NA
977	1424	NA	NA	NA
978	2099	NA	NA	NA
979	2258	NA	NA	NA
980	1035	NA	NA	NA
981	2150	NA	NA	NA
982	1197	NA	NA	NA
983	2033	NA	NA	NA
984	583	NA	NA	NA
985	2255	NA	NA	NA
986	1919	NA	NA	NA
987	749	NA	NA	NA
988	2091	NA	NA	NA
989	841	NA	NA	NA
990	354	NA	NA	NA
991	307	NA	NA	NA
992	328	NA	NA	NA
993	329	NA	NA	NA
994	414	NA	NA	NA
995	415	NA	NA	NA
996	382	NA	NA	NA
997	1773	NA	NA	NA
998	369	NA	NA	NA
999	2025	NA	NA	NA
1000	2106	NA	NA	NA
1001	917	NA	NA	NA
1002	306	NA	NA	NA
1003	1865	NA	NA	NA
1004	1676	NA	NA	NA
1005	647	NA	NA	NA
1006	800	NA	NA	NA
1007	231	NA	NA	NA
1008	1772	NA	NA	NA
1009	1483	NA	NA	NA
1010	335	NA	NA	NA
1011	209	NA	NA	NA
1012	27	NA	NA	NA
1013	1266	NA	NA	NA
1014	1811	NA	NA	NA
1015	611	NA	NA	NA
1016	182	NA	NA	NA
1017	969	NA	NA	NA
1018	1496	NA	NA	NA
1019	918	NA	NA	NA
1020	2006	NA	NA	NA
1021	911	NA	NA	NA
1022	447	NA	NA	NA
1023	1619	NA	NA	NA
