TaxID	Kraken	Kaiju	CLARK
830	165	NA	NA	NA
831	1650660	NA	2	NA
832	1650660	NA	NA	NA
833	165695	NA	1	NA
834	165695	NA	NA	NA
835	165696	NA	1	NA
836	165696	NA	NA	NA
837	1658665	NA	1	NA
838	1658665	NA	NA	NA
839	1658672	NA	NA	1
840	166	NA	NA	NA
841	1661	NA	1	NA
842	1661	NA	NA	NA
843	1663	NA	7	NA
844	1663	NA	NA	NA
845	1663591	NA	3	NA
846	1663591	NA	NA	NA
847	166501	NA	NA	4
848	167	NA	NA	NA
849	1678678	NA	1	NA
850	1678678	NA	NA	NA
851	1679444	NA	1	NA
852	1679444	NA	NA	NA
853	168	NA	NA	NA
854	1680	NA	NA	1
855	1685	NA	1	NA
856	1685	NA	NA	NA
857	1685010	NA	1	NA
858	1685010	NA	NA	NA
859	1686310	NA	3	NA
860	1686310	NA	NA	NA
861	169	NA	NA	NA
862	1690248	NA	NA	1
863	1690815	NA	5	NA
864	1690815	NA	NA	NA
865	1692238	NA	NA	1
866	169760	NA	2	NA
867	169760	NA	NA	NA
868	17	NA	NA	NA
869	170	NA	NA	NA
870	1702170	NA	1	NA
871	1702170	NA	NA	NA
872	1702221	NA	2	NA
873	1702221	NA	NA	NA
874	1702287	2248	NA	NA
875	1702287	NA	1601	NA
876	1702287	NA	NA	2144
877	1702287	NA	NA	NA
878	1703	NA	1	NA
879	1703	NA	NA	1
880	1703	NA	NA	NA
881	1703969	NA	1	NA
882	1703969	NA	NA	NA
883	1704044	NA	2	NA
884	1704044	NA	NA	NA
885	1705394	NA	1	NA
886	1705394	NA	NA	NA
887	171	NA	2	NA
888	171	NA	NA	NA
889	171284	NA	NA	1
890	171437	73	NA	NA
891	171437	NA	NA	NA
892	171549	NA	1	NA
893	171549	NA	NA	NA
894	1715806	NA	1	NA
895	1715806	NA	NA	NA
896	1716	NA	3	NA
897	1716	NA	NA	NA
898	172	NA	NA	NA
899	1725411	NA	NA	1
900	1727163	NA	1	NA
901	1727163	NA	NA	NA
902	1727164	NA	1	NA
903	1727164	NA	NA	NA
904	1727196	NA	1	NA
905	1727196	NA	NA	NA
906	1729720	NA	2	NA
907	1729720	NA	NA	NA
908	173	NA	1	NA
909	173	NA	NA	NA
910	173479	NA	4	NA
911	173479	NA	NA	NA
912	1736674	NA	2	NA
913	1736674	NA	NA	NA
914	1736675	NA	1	NA
915	1736675	NA	NA	NA
916	1737490	NA	1	NA
917	1737490	NA	NA	1
918	1737490	NA	NA	NA
919	174	NA	NA	NA
920	1742993	NA	16	NA
921	1742993	NA	NA	NA
922	1744	NA	1	NA
923	1744	NA	NA	NA
924	1748	NA	1	NA
925	1748	NA	NA	NA
926	1749074	NA	2	NA
927	1749074	NA	NA	NA
928	175	NA	NA	NA
929	1751286	NA	1	NA
930	1751286	NA	NA	NA
931	1752063	NA	3	NA
932	1752063	NA	NA	NA
933	1754	NA	1	NA
934	1754	NA	NA	NA
935	1755679	NA	1	NA
936	1755679	NA	NA	NA
937	1758689	NA	1	NA
938	1758689	NA	NA	2
939	1758689	NA	NA	NA
940	1759059	29	NA	NA
941	1759059	NA	3	NA
942	1759059	NA	NA	42
943	1759059	NA	NA	NA
944	176	NA	NA	NA
945	1760	NA	17	NA
946	1760	NA	NA	NA
947	1763	NA	17	NA
948	1763	NA	NA	NA
949	1763524	NA	1	NA
950	1763524	NA	NA	NA
951	1763536	NA	2	NA
952	1763536	NA	NA	NA
953	1763538	NA	1	NA
954	1763538	NA	NA	NA
955	176652	NA	2	NA
956	176652	NA	NA	NA
957	1768108	NA	1	NA
958	1768108	NA	NA	NA
959	1769296	NA	2	NA
960	1769296	NA	NA	NA
961	177	NA	NA	NA
962	1771959	NA	1	NA
963	1771959	NA	NA	NA
964	1772	NA	1	NA
965	1772	NA	NA	NA
966	1773	12	NA	NA
967	1773	NA	NA	22
968	1773	NA	NA	NA
969	177437	NA	6	NA
970	177437	NA	NA	NA
971	177439	NA	2	NA
972	177439	NA	NA	NA
973	1775411	NA	6	NA
974	1775411	NA	NA	NA
975	1776293	NA	1	NA
976	1776293	NA	NA	NA
977	1778262	NA	1	NA
978	1778262	NA	NA	NA
979	1779382	NA	1	NA
980	1779382	NA	NA	2
981	1779382	NA	NA	NA
982	178	NA	NA	NA
983	1780507	NA	3	NA
984	1780507	NA	NA	NA
985	1781	NA	1	NA
986	1781	NA	NA	NA
987	1783257	NA	1	NA
988	1783257	NA	NA	NA
989	1783272	NA	26	NA
990	1783272	NA	NA	NA
